Title,URL
Google's Open Agentic Orchestrator,[]
What happened to the Snowden archive,[]
Samsung is expected to more than double output of its HBM4 and HBM4E DRAM,[]
ChatGPT now knows what you do on other websites via ad collector,[]
Qwen Image 2.1,[]
The Effect of CRTs on Pixel Art (2024),[]
"Amiga Unix, Again",[]
Pirate Face Rescues LLM Models from Deletion,[]
Bill to Ban Private Equity from Owning Medical Practices,[]
Singapore’s National Library Board offers micropayments to build reading habits,[]
Apple iPhone 18 Pro Camera test,[]
"Nobody pays for FOSS, we can force them to",[]
A Necessary History of the Oddest Letter: W,[]
Exfiltrate Your Weights,[]
DAPO: An Open-source RL System from ByteDance Seed and Tsinghua AIR,[]
Ogre Battle 64 Recompiled Project at 99.05%,[]
Sherline Tools Is Going Out of Business,[]
Spain Orders Blocks on Archive.today and Its Mirrors,[]
Why back propagation goes backward,[]
I am often wrong,[]
I turned Jev into a (lousy) chatbot,[]
Show HN: A competition for small neural networks that play strategy games,[]
"Key symbols we lost to time, pt. 2: The Mac side",[]
The Hierarchy of Money,[]
Resident Evil 4 (GameCube) – complete byte-identical decompilation to C/C++,[]
Show HN: Radius – A Meetup.com Alternative,[]
Why do we need human mathematicians anymore?,[]
Software sandboxing: The basics (2025),[]
Laya on Mac M4 CoreML Offline,[]
Why MCP Was Always a Bad Idea?,[]
